Sample,Amplicon,Cycle,Cycle Type,Cycle Size (bp),Cycle Breakpoint Count,Cycle Chromosome Count,Cycle Regions List,Cycle Paired Ends List,Cycle TPR,Cycle TP BEs,Cycle FPR,Cycle FP BEs,Cycle PFNR,Cycle PFN BEs,Cycle MEB,Cycle Mapping Error Breakends,Cycle Unmappable Reasons,Small Deletions Count,Cycle Genes Info,Cycle Genes List,Cycle ESB,Cycle Type Boolean,Cycle Cluster Assignment,Selection Score,Confidence
5637_URINARY_TRACT,1,3,circular,2601,1,1,"[('6', 22778285, 22780885)]","[('6', 22780885, '6', 22778285)]",1.0,"[('6', 22780885, '6', 22778285)]",0.0,[],0.0,[],0.0,[],[],0,{},[],0.0,1,1,0.5,high
5637_URINARY_TRACT,1,4,circular,1827,1,1,"[('6', 21869324, 21871150)]","[('6', 21871150, '6', 21869324)]",1.0,"[('6', 21871150, '6', 21869324)]",0.0,[],0.0,[],0.0,[],[],0,{},[],0.0,1,1,0.5,high
5637_URINARY_TRACT,1,5,circular,4901014,3,1,"[('3', 9099507, 9519220), ('3', 9521655, 10184492), ('3', 10187258, 14005719)]","[('3', 9519220, '3', 9521655), ('3', 10184492, '3', 10187258), ('3', 14005719, '3', 9099507)]",1.0,"[('3', 9519220, '3', 9521655), ('3', 10184492, '3', 10187258), ('3', 14005719, '3', 9099507)]",0.0,[],0.0,[],0.0,[],[],0,"{'3': {'FANCD2': {'type': ['TSG'], 'loc': ('10026414', '10101930')}, 'FBLN2': {'type': ['TSG'], 'loc': ('13549131', '13638422')}, 'PPARG': {'type': ['TSG', ' fusion'], 'loc': ('12287368', '12434356')}, 'RAF1': {'type': ['oncogene', ' fusion'], 'loc': ('12583601', '12664226')}, 'VHL': {'type': ['TSG'], 'loc': ('10141008', '10152220')}}}","['FANCD2', 'FBLN2', 'PPARG', 'RAF1', 'VHL']",1.0,1,1,0.875,high
5637_URINARY_TRACT,1,6,circular,1770,1,1,"[('6', 22025443, 22027212)]","[('6', 22027212, '6', 22025443)]",1.0,"[('6', 22027212, '6', 22025443)]",0.0,[],0.0,[],0.0,[],[],0,{},[],0.0,1,1,0.5,high
5637_URINARY_TRACT,1,7,circular,905,1,1,"[('6', 21953942, 21954846)]","[('6', 21954846, '6', 21953942)]",1.0,"[('6', 21954846, '6', 21953942)]",0.0,[],0.0,[],0.0,[],[],0,{},[],1.0,1,1,0.875,high
5637_URINARY_TRACT,1,9,circular,3832658,2,1,"[('6', 21882742, 20355001), ('6', 20354278, 22659195)]","[('6', 20355001, '6', 20354278), ('6', 22659195, '6', 21882742)]",1.0,"[('6', 22659195, '6', 21882742)]",0.0,[],0.0,[],0.0,[],[],1,{},[],1.0,1,1,0.875,high
5637_URINARY_TRACT,1,10,circular,2381,1,1,"[('6', 22512126, 22514506)]","[('6', 22514506, '6', 22512126)]",1.0,"[('6', 22514506, '6', 22512126)]",0.0,[],0.0,[],0.0,[],[],0,{},[],0.0,1,1,0.5,high
59M_OVARY,2,1,linear,315185,1,1,"[('8', 43200000, 42884814)]","[('8', 42884814, '8', 43200000)]",0.0,[],1.0,"[('8', 42884814, '8', 43200000)]",0.0,[],0.0,[],[],0,"{'8': {'HOOK3': {'type': ['fusion'], 'loc': ('42896932', '43030539')}}}",['HOOK3'],0.0,0,0,1.5,medium
59M_OVARY,2,2,circular,3341945,3,1,"[('8', 52712046, 56012638), ('8', 65533018, 65573948), ('8', 71975209, 71974787)]","[('8', 56012638, '8', 65533018), ('8', 65573948, '8', 71975209), ('8', 71974787, '8', 52712046)]",1.0,"[('8', 56012638, '8', 65533018), ('8', 65573948, '8', 71975209), ('8', 71974787, '8', 52712046)]",0.0,[],0.0,[],0.0,[],[],0,"{'8': {'TCEA1': {'type': ['fusion'], 'loc': ('53966552', '54022529')}}}",['TCEA1'],1.0,1,1,0.875,high
59M_OVARY,2,3,circular,1338,2,2,"[('8', 51817582, 51818907), ('11', 38791107, 38791118)]","[('8', 51818907, '11', 38791107), ('11', 38791118, '8', 51817582)]",1.0,"[('8', 51818907, '11', 38791107), ('11', 38791118, '8', 51817582)]",0.0,[],0.0,[],0.0,[],[],0,{},[],0.0,1,1,0.5,high
