Sample,Amplicon,Cycle,Cycle Type,Cycle Size (bp),Cycle Breakpoint Count,Cycle Chromosome Count,Cycle Regions List,Cycle Paired Ends List,Cycle TPR,Cycle TP BEs,Cycle FPR,Cycle FP BEs,Cycle PFNR,Cycle PFN BEs,Cycle MEB,Cycle Mapping Error Breakends,Cycle Unmappable Reasons,Small Deletions Count,Cycle Genes Info,Cycle Genes List,Cycle ESB,Cycle Type Boolean,Cycle Cluster Assignment,Selection Score,Confidence
CURTIS_H000381_T01_01_WG01,1,1,circular,855,1,1,"[('6', 44149194, 44150048)]","[('6', 44150048, '6', 44149194)]",0.0,[],1.0,"[('6', 44150048, '6', 44149194)]",0.0,[],1.0,"[('6', 44150048), ('6', 44149194)]","['High_Signal_Region', 'High_Signal_Region']",0,{},[],0.0,1,1,2.0625,low
CURTIS_H000382_T01_01_WG01,1,1,linear,20749,1,1,"[('8', 120335841, 120315091)]","[('8', 120315091, '8', 120335841)]",0.0,[],1.0,"[('8', 120315091, '8', 120335841)]",0.0,[],0.0,[],[],0,{},[],0.0,0,0,1.5,medium
CURTIS_H000387_T01_01_WG01,1,1,linear,10741,1,1,"[('17', 71264685, 71253943)]","[('17', 71253943, '17', 71264685)]",0.0,[],1.0,"[('17', 71253943, '17', 71264685)]",0.0,[],0.0,[],[],0,{},[],0.0,0,0,1.5,medium
CURTIS_H000387_T01_01_WG01,1,2,linear,210741,1,1,"[('17', 71124888, 70914146)]","[('17', 70914146, '17', 71124888)]",0.0,[],1.0,"[('17', 70914146, '17', 71124888)]",0.0,[],0.0,[],[],0,{},[],0.0,0,0,1.5,medium
CURTIS_H000390_T01_01_WG01,1,1,linear,584698,1,1,"[('11', 69724499, 69139800)]","[('11', 69139800, '11', 69724499)]",0.0,[],1.0,"[('11', 69139800, '11', 69724499)]",0.0,[],0.0,[],[],0,"{'11': {'CCND1': {'type': ['oncogene', ' fusion'], 'loc': ('69455855', '69469242')}}}",['CCND1'],0.0,0,0,1.5,medium
CURTIS_H000390_T01_01_WG01,1,2,circular,822,2,2,"[('Y', 13203741, 13204538), ('11', 70835243, 70835266)]","[('Y', 13204538, '11', 70835243), ('11', 70835266, 'Y', 13203741)]",0.0,[],1.0,"[('Y', 13204538, '11', 70835243), ('11', 70835266, 'Y', 13203741)]",0.0,[],1.0,"[('Y', 13204538), ('Y', 13203741)]","['High_Signal_Region', 'High_Signal_Region']",0,{},[],0.0,1,1,2.0625,low
CURTIS_H000390_T01_01_WG01,1,3,circular,998,2,2,"[('11', 76903854, 76904542), ('19', 14706528, 14706836)]","[('11', 76904542, '19', 14706528), ('19', 14706836, '11', 76903854)]",0.0,[],1.0,"[('11', 76904542, '19', 14706528), ('19', 14706836, '11', 76903854)]",0.0,[],0.0,[],[],0,{},[],0.0,1,0,1.5,medium
CURTIS_H000392_T01_01_WG01,1,1,linear,41,1,1,"[('7', 107410670, 107410628)]","[('7', 107410628, '7', 107410670)]",0.0,[],1.0,"[('7', 107410628, '7', 107410670)]",0.0,[],0.0,[],[],0,{},[],1.0,0,0,1.875,medium
CURTIS_H000392_T01_01_WG01,1,2,linear,41,1,1,"[('7', 107410670, 107410628)]","[('7', 107410628, '7', 107410670)]",0.0,[],1.0,"[('7', 107410628, '7', 107410670)]",0.0,[],0.0,[],[],0,{},[],1.0,0,0,1.875,medium
CURTIS_H000394_T01_01_WG01,1,1,circular,751029,1,1,"[('17', 37207510, 37958538)]","[('17', 37958538, '17', 37207510)]",1.0,"[('17', 37958538, '17', 37207510)]",0.0,[],0.0,[],0.0,[],[],0,"{'17': {'CDK12': {'type': ['TSG'], 'loc': ('37617764', '37721160')}, 'ERBB2': {'type': ['oncogene', ' fusion'], 'loc': ('37844167', '37886679')}}}","['CDK12', 'ERBB2']",0.0,1,2,0.5,high
CURTIS_H000394_T01_01_WG01,1,2,linear,214498,1,1,"[('17', 37424999, 37210500)]","[('17', 37210500, '17', 37424999)]",0.0,[],1.0,"[('17', 37210500, '17', 37424999)]",0.0,[],0.0,[],[],0,{},[],0.0,0,0,1.5,medium
CURTIS_H000394_T01_01_WG01,1,3,circular,95928,2,1,"[('17', 37601285, 37669922), ('17', 28019227, 28046516)]","[('17', 37669922, '17', 28019227), ('17', 28046516, '17', 37601285)]",1.0,"[('17', 37669922, '17', 28019227), ('17', 28046516, '17', 37601285)]",0.0,[],0.0,[],0.0,[],[],0,{},[],0.0,1,2,0.5,high
CURTIS_H000394_T01_01_WG01,1,4,linear,3584777,5,1,"[('17', 25800250, 26780386), ('17', 26783489, 28046516), ('17', 37601285, 37727179), ('17', 37633006, 37209002), ('17', 37202834, 36411119)]","[('17', 26780386, '17', 26783489), ('17', 28046516, '17', 37601285), ('17', 37727179, '17', 37633006), ('17', 37209002, '17', 37202834), ('17', 36411119, '17', 25800250)]",0.4,"[('17', 28046516, '17', 37601285), ('17', 37209002, '17', 37202834)]",0.6,"[('17', 26780386, '17', 26783489), ('17', 37727179, '17', 37633006), ('17', 36411119, '17', 25800250)]",0.0,[],0.0,[],[],0,"{'17': {'CDK12': {'type': ['TSG'], 'loc': ('37617764', '37721160')}, 'LASP1': {'type': ['fusion'], 'loc': ('37026112', '37078023')}, 'MLLT6': {'type': ['fusion'], 'loc': ('36861795', '36886056')}}}","['CDK12', 'LASP1', 'MLLT6']",1.0,0,2,1.375,medium
CURTIS_H000396_T01_01_WG01,1,1,linear,224987,2,1,"[('8', 125672162, 125876497), ('8', 129423650, 129402998)]","[('8', 125876497, '8', 129423650), ('8', 129402998, '8', 125672162)]",0.5,"[('8', 125876497, '8', 129423650)]",0.5,"[('8', 129402998, '8', 125672162)]",0.0,[],0.0,[],[],0,{},[],0.0,0,2,0.5,high
CURTIS_H000396_T01_01_WG01,1,2,linear,789843,5,3,"[('8', 43090210, 43079559), ('8', 130363451, 130343983), ('11', 73683084, 73831408), ('11', 71836533, 71846740), ('3', 87318558, 87919750)]","[('8', 43079559, '11', 73683084), ('11', 73831408, '8', 130363451), ('8', 130343983, '11', 71836533), ('11', 71846740, '3', 87318558), ('3', 87919750, '8', 43090210)]",0.0,[],1.0,"[('8', 43079559, '11', 73683084), ('11', 73831408, '8', 130363451), ('8', 130343983, '11', 71836533), ('11', 71846740, '3', 87318558), ('3', 87919750, '8', 43090210)]",0.3,"[('11', 73683084, '8', 73683095), ('11', 73831408, '8', 73831410), ('11', 71836533, '8', 71836539)]",0.0,[],[],0,{},[],0.0,0,0,1.625,medium
CURTIS_H000396_T01_01_WG01,1,3,linear,1341304,5,2,"[('8', 125009419, 125011288), ('8', 125012607, 125011565), ('8', 43111249, 43103980), ('12', 68960310, 67632788), ('12', 24474406, 24470801)]","[('8', 125011288, '8', 125012607), ('8', 125011565, '12', 68960310), ('12', 67632788, '12', 24474406), ('12', 24470801, '8', 43111249), ('8', 43103980, '8', 125009419)]",0.25,"[('12', 67632788, '12', 24474406)]",0.75,"[('8', 125011565, '12', 68960310), ('12', 24470801, '8', 43111249), ('8', 43103980, '8', 125009419)]",0.1666666666666666,"[('12', 68960310, '8', 68960310)]",1.0,"[('8', 43111249), ('8', 43103980)]","['High_Signal_Region', 'High_Signal_Region']",1,{},[],0.0,0,1,1.6875,medium
CURTIS_H000396_T01_01_WG01,1,4,linear,10650,1,1,"[('8', 43090210, 43079559)]","[('8', 43079559, '8', 43090210)]",0.0,[],1.0,"[('8', 43079559, '8', 43090210)]",0.0,[],0.0,[],[],0,{},[],0.0,0,0,1.5,medium
CURTIS_H000396_T01_01_WG01,1,5,linear,1297930,4,2,"[('8', 127299888, 127306222), ('8', 127306222, 127299888), ('12', 70977830, 70590859), ('12', 70079539, 70977830)]","[('8', 127306222, '12', 70977830), ('12', 70590859, '12', 70079539), ('12', 70977830, '8', 127306222), ('8', 127299888, '8', 127299888)]",0.0,[],1.0,"[('8', 127306222, '12', 70977830), ('12', 70590859, '12', 70079539), ('12', 70977830, '8', 127306222)]",0.3333333333333333,"[('12', 70977830, '8', 70977831), ('12', 70977830, '8', 70977831)]",0.0,[],[],1,{},[],0.0,0,0,1.625,medium
CURTIS_H000396_T01_01_WG01,1,6,linear,16315,1,1,"[('8', 125892814, 125876498)]","[('8', 125876498, '8', 125892814)]",0.0,[],1.0,"[('8', 125876498, '8', 125892814)]",0.5,"[('8', 125876498, '8', 129423651)]",0.0,[],[],0,{},[],0.0,0,0,1.75,medium
CURTIS_H000396_T01_01_WG01,1,7,linear,2643593,9,3,"[('12', 109423500, 110440757), ('12', 66732043, 66727865), ('10', 56479613, 57412036), ('10', 55007904, 55057786), ('11', 74624855, 74633668), ('11', 74164592, 74106943), ('11', 74690779, 74924577), ('11', 69484151, 69401401), ('11', 69400842, 69144000)]","[('12', 110440757, '10', 56479613), ('10', 57412036, '11', 74624855), ('11', 74633668, '11', 74164592), ('11', 74106943, '12', 66732043), ('12', 66727865, '11', 74690779), ('11', 74924577, '10', 55007904), ('10', 55057786, '11', 69484151), ('11', 69401401, '11', 69400842), ('11', 69144000, '12', 109423500)]",0.125,"[('11', 74633668, '11', 74164592)]",0.875,"[('12', 110440757, '10', 56479613), ('10', 57412036, '11', 74624855), ('11', 74106943, '12', 66732043), ('12', 66727865, '11', 74690779), ('11', 74924577, '10', 55007904), ('10', 55057786, '11', 69484151), ('11', 69144000, '12', 109423500)]",0.1428571428571428,"[('12', 66732043, '11', 66732044), ('12', 66727865, '11', 66727869)]",0.0,[],[],1,"{'11': {'CCND1': {'type': ['oncogene', ' fusion'], 'loc': ('69455855', '69469242')}}}",['CCND1'],1.0,0,0,1.5,medium
CURTIS_H000396_T01_01_WG01,1,8,circular,108108,5,2,"[('12', 72508221, 72553120), ('12', 72550057, 72508221), ('12', 71005869, 70985034), ('12', 71005783, 71005869), ('3', 77589255, 77589706)]","[('12', 72553120, '12', 72550057), ('12', 72508221, '12', 71005869), ('12', 70985034, '3', 77589255), ('3', 77589706, '12', 71005783), ('12', 71005869, '12', 72508221)]",0.6,"[('12', 72553120, '12', 72550057), ('12', 72508221, '12', 71005869), ('12', 71005869, '12', 72508221)]",0.4,"[('12', 70985034, '3', 77589255), ('3', 77589706, '12', 71005783)]",0.0,[],0.0,[],[],0,{},[],0.0,1,2,0.5,high
CURTIS_H000396_T01_01_WG01,1,9,linear,20650,1,1,"[('8', 110888645, 110867994)]","[('8', 110867994, '8', 110888645)]",0.0,[],1.0,"[('8', 110867994, '8', 110888645)]",0.0,[],0.0,[],[],0,{},[],0.0,0,0,1.5,medium
CURTIS_H000396_T01_01_WG01,1,10,linear,35675,2,2,"[('8', 127276755, 127299630), ('12', 70590656, 70577856)]","[('8', 127299630, '12', 70590656), ('12', 70577856, '8', 127276755)]",0.0,[],1.0,"[('8', 127299630, '12', 70590656), ('12', 70577856, '8', 127276755)]",0.25,"[('12', 70590656, '8', 70590656)]",0.0,[],[],0,{},[],0.0,0,0,1.625,medium
CURTIS_H000396_T01_01_WG01,1,11,linear,20824,1,1,"[('3', 88186985, 88166160)]","[('3', 88166160, '3', 88186985)]",0.0,[],1.0,"[('3', 88166160, '3', 88186985)]",0.0,[],0.0,[],[],0,{},[],0.0,0,0,1.5,medium
CURTIS_H000396_T01_01_WG01,1,12,circular,62554,2,1,"[('3', 74032832, 74094192), ('3', 74161761, 74162953)]","[('3', 74094192, '3', 74161761), ('3', 74162953, '3', 74032832)]",1.0,"[('3', 74094192, '3', 74161761), ('3', 74162953, '3', 74032832)]",0.0,[],0.0,[],0.0,[],[],0,{},[],0.0,1,2,0.5,high
CURTIS_H000396_T01_01_WG01,1,13,linear,240650,1,1,"[('8', 130474634, 130233983)]","[('8', 130233983, '8', 130474634)]",0.0,[],1.0,"[('8', 130233983, '8', 130474634)]",0.0,[],0.0,[],[],0,{},[],0.0,0,0,1.5,medium
